#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:44 type:b dur:2 cpbdur:2 q:19.99 aq:14.85 tex:100 mv:64 misc:252 imb:0 pmb:12 smb:1608 d:- ref:0 ;
in:46 out:45 type:P dur:2 cpbdur:2 q:18.10 aq:5.61 tex:94876 mv:2074 misc:546 imb:6 pmb:627 smb:987 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:18.83 aq:14.30 tex:983 mv:401 misc:296 imb:0 pmb:31 smb:1589 d:s ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:17.83 aq:8.30 tex:67976 mv:1967 misc:721 imb:8 pmb:518 smb:1094 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:17.96 aq:11.47 tex:307 mv:116 misc:305 imb:0 pmb:31 smb:1589 d:s ref:0 ;
in:50 out:49 type:P dur:2 cpbdur:2 q:17.53 aq:8.18 tex:58865 mv:1465 misc:790 imb:5 pmb:418 smb:1197 d:s ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:17.68 aq:11.87 tex:1015 mv:345 misc:320 imb:0 pmb:38 smb:1582 d:s ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:17.60 aq:8.01 tex:45732 mv:1136 misc:836 imb:1 pmb:360 smb:1259 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:17.57 aq:10.70 tex:307 mv:161 misc:260 imb:0 pmb:15 smb:1605 d:s ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:17.72 aq:7.35 tex:34636 mv:1045 misc:791 imb:1 pmb:340 smb:1279 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:17.66 aq:11.51 tex:219 mv:72 misc:261 imb:0 pmb:15 smb:1605 d:s ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:17.32 aq:4.65 tex:44470 mv:1213 misc:797 imb:3 pmb:358 smb:1259 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:17.52 aq:11.38 tex:113 mv:56 misc:215 imb:0 pmb:6 smb:1614 d:s ref:0 ;
